Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		UG_Werkstatt_PM STATUSAKTOR	5/1/63					Auto
		UG_Werkstatt_PM SPERRE	5/1/64					Auto
		UG_Werkstatt_PM ZWANGSFÜHRUNG	5/1/65					Auto
		UG_Werkstatt_PM STATUSAUTOMATIK	5/1/66					Auto
		UG_Werkstatt_PM NURIMDUNKELNAKTIV	5/1/67					Auto
		UG_Werkstatt_PM NACHLAUFZEIT	5/1/68					Auto
		UG_Werkstatt_PM LEDROT	5/1/69					Auto
		UG_Werkstatt_PM RAUMHELLIGKEIT	5/1/70					Auto
		UG_Werkstatt_PM HELLIGKEITSSCHWELLWERT	5/1/71					Auto
		UG_Werkstatt_PM START_KALIBRIERUNG	5/1/72					Auto
		UG_Werkstatt_PM DIMMWERT	5/1/73					Auto
		UG_Lager_PM TASTERKURZ	5/1/80					Auto
		UG_Lager_PM TASTERLANG	5/1/81					Auto
		UG_Lager_PM EXTBEWEGUNG	5/1/82					Auto
		UG_Lager_PM STATUSAKTOR	5/1/83					Auto
		UG_Lager_PM SPERRE	5/1/84					Auto
		UG_Lager_PM ZWANGSFÜHRUNG	5/1/85					Auto
		UG_Lager_PM STATUSAUTOMATIK	5/1/86					Auto
		UG_Lager_PM NURIMDUNKELNAKTIV	5/1/87					Auto
		UG_Lager_PM NACHLAUFZEIT	5/1/88					Auto
		UG_Lager_PM LEDROT	5/1/89					Auto
		UG_Lager_PM RAUMHELLIGKEIT	5/1/90					Auto
		UG_Lager_PM HELLIGKEITSSCHWELLWERT	5/1/91					Auto
		UG_Lager_PM START_KALIBRIERUNG	5/1/92					Auto
		UG_Lager_PM DIMMWERT	5/1/93					Auto
		UG_Abstell_PM TASTERKURZ	5/1/100					Auto
		UG_Abstell_PM TASTERLANG	5/1/101					Auto
		UG_Abstell_PM EXTBEWEGUNG	5/1/102					Auto
		UG_Abstell_PM STATUSAKTOR	5/1/103					Auto
		UG_Abstell_PM SPERRE	5/1/104					Auto
		UG_Abstell_PM ZWANGSFÜHRUNG	5/1/105					Auto
		UG_Abstell_PM STATUSAUTOMATIK	5/1/106					Auto
		UG_Abstell_PM NURIMDUNKELNAKTIV	5/1/107					Auto
		UG_Abstell_PM NACHLAUFZEIT	5/1/108					Auto
		UG_Abstell_PM LEDROT	5/1/109					Auto
		UG_Abstell_PM RAUMHELLIGKEIT	5/1/110					Auto
		UG_Abstell_PM HELLIGKEITSSCHWELLWERT	5/1/111					Auto
		UG_Abstell_PM START_KALIBRIERUNG	5/1/112					Auto
