Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
	OG		2/3/-					Auto
		OG_Kinderbad_Spots_Zentral EA	2/3/0					Auto
		OG_Kinderbad_Spots_Zentral DIM_REL	2/3/1					Auto
		OG_Kinderbad_Spots_Zentral DIM_ABS	2/3/2					Auto
		OG_Kinderbad_Spots_Zentral TW_ABS	2/3/3					Auto
		OG_Kinderbad_Spots_Zentral TW_REL	2/3/4					Auto
		OG_Kinderbad_Spots_Zentral RGB_ABS	2/3/5					Auto
		OG_Kinderbad_Spots_Zentral RM_EA	2/3/6					Auto
		OG_Kinderbad_Spots_Zentral RM_DIM	2/3/7					Auto
		OG_Kinderbad_Spots_Zentral RM_TWRGB	2/3/8					Auto
		OG_Kinderbad_Spots_Zentral FEHLER	2/3/9					Auto
		OG_Kinderbad_Spots_Waschtisch EA	2/3/10					Auto
		OG_Kinderbad_Spots_Waschtisch DIM_REL	2/3/11					Auto
		OG_Kinderbad_Spots_Waschtisch DIM_ABS	2/3/12					Auto
		OG_Kinderbad_Spots_Waschtisch TW_ABS	2/3/13					Auto
		OG_Kinderbad_Spots_Waschtisch TW_REL	2/3/14					Auto
		OG_Kinderbad_Spots_Waschtisch RGB_ABS	2/3/15					Auto
		OG_Kinderbad_Spots_Waschtisch RM_EA	2/3/16					Auto
		OG_Kinderbad_Spots_Waschtisch RM_DIM	2/3/17					Auto
		OG_Kinderbad_Spots_Waschtisch RM_TWRGB	2/3/18					Auto
		OG_Kinderbad_Spots_Waschtisch FEHLER	2/3/19					Auto
		OG_Kinderbad_Spots_Dusche EA	2/3/20					Auto
		OG_Kinderbad_Spots_Dusche DIM_REL	2/3/21					Auto
		OG_Kinderbad_Spots_Dusche DIM_ABS	2/3/22					Auto
		OG_Kinderbad_Spots_Dusche TW_ABS	2/3/23					Auto
		OG_Kinderbad_Spots_Dusche TW_REL	2/3/24					Auto
		OG_Kinderbad_Spots_Dusche RGB_ABS	2/3/25					Auto
		OG_Kinderbad_Spots_Dusche RM_EA	2/3/26					Auto
		OG_Kinderbad_Spots_Dusche RM_DIM	2/3/27					Auto
		OG_Kinderbad_Spots_Dusche RM_TWRGB	2/3/28					Auto
		OG_Kinderbad_Spots_Dusche FEHLER	2/3/29					Auto
		OG_Arbeit_Schreibtischleuchte EA	2/3/30					Auto
		OG_Arbeit_Schreibtischleuchte DIM_REL	2/3/31					Auto
		OG_Arbeit_Schreibtischleuchte DIM_ABS	2/3/32					Auto
		OG_Arbeit_Schreibtischleuchte TW_ABS	2/3/33					Auto
		OG_Arbeit_Schreibtischleuchte TW_REL	2/3/34					Auto
		OG_Arbeit_Schreibtischleuchte RGB_ABS	2/3/35					Auto
		OG_Arbeit_Schreibtischleuchte RM_EA	2/3/36					Auto
		OG_Arbeit_Schreibtischleuchte RM_DIM	2/3/37					Auto
		OG_Arbeit_Schreibtischleuchte RM_TWRGB	2/3/38					Auto
		OG_Arbeit_Schreibtischleuchte FEHLER	2/3/39					Auto
		OG_Bad_Spots_West EA	2/3/40					Auto
		OG_Bad_Spots_West DIM_REL	2/3/41					Auto
		OG_Bad_Spots_West DIM_ABS	2/3/42					Auto
		OG_Bad_Spots_West TW_ABS	2/3/43					Auto
		OG_Bad_Spots_West TW_REL	2/3/44					Auto
		OG_Bad_Spots_West RGB_ABS	2/3/45					Auto
		OG_Bad_Spots_West RM_EA	2/3/46					Auto
		OG_Bad_Spots_West RM_DIM	2/3/47					Auto
		OG_Bad_Spots_West RM_TWRGB	2/3/48					Auto
		OG_Bad_Spots_West FEHLER	2/3/49					Auto
		OG_Bad_Spots_Ost EA	2/3/50					Auto
		OG_Bad_Spots_Ost DIM_REL	2/3/51					Auto
		OG_Bad_Spots_Ost DIM_ABS	2/3/52					Auto
		OG_Bad_Spots_Ost TW_ABS	2/3/53					Auto
		OG_Bad_Spots_Ost TW_REL	2/3/54					Auto
		OG_Bad_Spots_Ost RGB_ABS	2/3/55					Auto
		OG_Bad_Spots_Ost RM_EA	2/3/56					Auto
		OG_Bad_Spots_Ost RM_DIM	2/3/57					Auto
		OG_Bad_Spots_Ost RM_TWRGB	2/3/58					Auto
		OG_Bad_Spots_Ost FEHLER	2/3/59					Auto
		OG_Bad_Spots_Dusche EA	2/3/60					Auto
		OG_Bad_Spots_Dusche DIM_REL	2/3/61					Auto
		OG_Bad_Spots_Dusche DIM_ABS	2/3/62					Auto
		OG_Bad_Spots_Dusche TW_ABS	2/3/63					Auto
		OG_Bad_Spots_Dusche TW_REL	2/3/64					Auto
		OG_Bad_Spots_Dusche RGB_ABS	2/3/65					Auto
		OG_Bad_Spots_Dusche RM_EA	2/3/66					Auto
		OG_Bad_Spots_Dusche RM_DIM	2/3/67					Auto
		OG_Bad_Spots_Dusche RM_TWRGB	2/3/68					Auto
		OG_Bad_Spots_Dusche FEHLER	2/3/69					Auto
		OG_Ankleide_Schrankbeleuchtung EA	2/3/70					Auto
		OG_Ankleide_Schrankbeleuchtung DIM_REL	2/3/71					Auto
		OG_Ankleide_Schrankbeleuchtung DIM_ABS	2/3/72					Auto
		OG_Ankleide_Schrankbeleuchtung TW_ABS	2/3/73					Auto
		OG_Ankleide_Schrankbeleuchtung TW_REL	2/3/74					Auto
		OG_Ankleide_Schrankbeleuchtung RGB_ABS	2/3/75					Auto
		OG_Ankleide_Schrankbeleuchtung RM_EA	2/3/76					Auto
		OG_Ankleide_Schrankbeleuchtung RM_DIM	2/3/77					Auto
		OG_Ankleide_Schrankbeleuchtung RM_TWRGB	2/3/78					Auto
		OG_Ankleide_Schrankbeleuchtung FEHLER	2/3/79					Auto
		OG_WC_Spot EA	2/3/80					Auto
		OG_WC_Spot DIM_REL	2/3/81					Auto
		OG_WC_Spot DIM_ABS	2/3/82					Auto
		OG_WC_Spot TW_ABS	2/3/83					Auto
		OG_WC_Spot TW_REL	2/3/84					Auto
		OG_WC_Spot RGB_ABS	2/3/85					Auto
		OG_WC_Spot RM_EA	2/3/86					Auto
		OG_WC_Spot RM_DIM	2/3/87					Auto
		OG_WC_Spot RM_TWRGB	2/3/88					Auto
		OG_WC_Spot FEHLER	2/3/89					Auto
		OG_Balkon_Spot_Kind1 EA	2/3/90					Auto
		OG_Balkon_Spot_Kind1 DIM_REL	2/3/91					Auto
		OG_Balkon_Spot_Kind1 DIM_ABS	2/3/92					Auto
		OG_Balkon_Spot_Kind1 TW_ABS	2/3/93					Auto
